AccountID,CustomerID,AccountType,Balance,CreatedDate
1,1828,Savings,53911,2019-06-12
2,3740,Business,39910,2015-07-14
3,1247,Savings,75903,2018-03-23
4,3843,Business,47519,2024-12-14
5,4693,Savings,34233,2019-07-26
6,735,Business,62579,2022-08-20
7,2638,Savings,79910,2019-03-19
8,3805,Checking,88990,2017-12-17
9,2898,Business,93376,2021-03-07
10,591,Savings,31150,2018-10-26
11,815,Savings,69518,2018-10-16
12,1334,Savings,38321,2022-05-05
13,1264,Business,66292,2025-04-21
14,2418,Business,49267,2016-10-03
15,2505,Savings,73011,2019-09-27
16,2172,Checking,14786,2025-02-06
17,154,Business,32681,2016-05-31
18,2191,Savings,20891,2020-10-17
19,4110,Business,51838,2015-06-20
20,4178,Savings,13456,2021-12-24
21,2926,Savings,48497,2025-02-22
22,4447,Savings,55888,2016-12-27
23,3336,Checking,78906,2024-07-15
24,3642,Checking,65972,2022-01-26
25,2133,Savings,77627,2016-09-14
26,737,Savings,91584,2017-09-21
27,3409,Checking,32876,2016-12-15
28,92,Business,64283,2024-11-11
29,3118,Savings,82816,2022-12-29
30,1815,Savings,52916,2024-05-18
31,3422,Business,8582,2024-08-13
32,4173,Checking,26643,2021-07-19
33,1180,Checking,98603,2023-12-04
34,2428,Business,52910,2019-04-08
35,1513,Savings,3091,2016-12-05
36,3267,Savings,76623,2018-02-19
37,1185,Savings,74153,2018-11-08
38,930,Savings,51086,2017-11-29
39,4799,Business,37573,2020-03-09
40,3948,Savings,50182,2019-03-20
41,2975,Savings,37538,2023-08-08
42,858,Business,93387,2018-09-10
43,3788,Business,10693,2020-04-15
44,473,Checking,23037,2022-11-08
45,4302,Business,82004,2020-03-21
46,3800,Business,82846,2019-03-11
47,3463,Checking,93773,2017-04-19
48,1412,Checking,54748,2018-06-06
49,3599,Checking,1298,2023-06-27
50,2870,Business,44015,2023-05-31
51,1719,Business,52535,2018-11-16
52,2201,Savings,56364,2016-12-21
53,4512,Business,85891,2016-11-27
54,2287,Checking,10429,2022-06-10
55,1830,Checking,2852,2023-01-03
56,274,Savings,27834,2020-09-11
57,3525,Savings,55261,2016-07-06
58,3251,Checking,48166,2020-01-05
59,3602,Savings,38966,2021-09-11
60,442,Business,64603,2022-01-04
61,351,Savings,78731,2018-10-31
62,3172,Business,87619,2017-01-15
63,1621,Savings,37472,2019-07-30
64,1808,Checking,22252,2024-10-28
65,3586,Business,15754,2021-04-04
66,1030,Business,71514,2023-05-11
67,345,Savings,35642,2016-02-19
68,1328,Checking,12221,2024-03-27
69,2506,Checking,42821,2017-07-09
70,1903,Savings,38502,2023-01-30
71,3307,Checking,70254,2024-09-04
72,1392,Savings,13559,2019-07-05
73,1415,Checking,77739,2017-08-28
74,3891,Business,2891,2024-03-09
75,3861,Checking,51110,2017-07-17
76,2798,Business,31233,2023-11-05
77,3331,Checking,93285,2023-06-05
78,2099,Business,55937,2017-01-01
79,4854,Business,20294,2024-03-12
80,2184,Checking,55046,2018-09-20
81,4101,Savings,85072,2019-08-15
82,2319,Checking,32426,2017-07-01
83,2926,Business,27171,2021-08-16
84,4301,Business,14028,2015-07-15
85,4625,Checking,23104,2019-11-09
86,1345,Business,75265,2015-06-07
87,4794,Business,63270,2016-10-25
88,1243,Business,66068,2016-09-26
89,3402,Savings,71954,2021-01-22
90,3117,Checking,22551,2024-11-24
91,3544,Checking,96372,2020-02-17
92,1075,Business,48934,2021-12-17
93,3855,Savings,84468,2018-07-29
94,3164,Checking,65913,2023-11-20
95,2906,Checking,96258,2015-10-15
96,2659,Business,80519,2015-06-20
97,3164,Savings,29450,2017-08-24
98,4704,Checking,75840,2024-04-30
99,133,Business,84298,2016-08-05
100,3076,Savings,71555,2024-11-18
101,9,Checking,11084,2016-08-07
102,2764,Checking,66972,2024-05-16
103,1345,Checking,81091,2023-11-12
104,1623,Checking,85494,2022-02-24
105,2624,Business,55476,2015-11-22
106,792,Business,3929,2021-06-21
107,2372,Checking,58440,2016-09-20
108,3225,Business,73095,2024-01-29
109,2020,Checking,13597,2016-12-03
110,608,Checking,65652,2017-12-20
111,1866,Checking,59956,2019-10-16
112,1392,Business,46864,2018-04-19
113,3113,Checking,68833,2023-10-02
114,2845,Savings,63474,2019-01-13
115,4841,Checking,637,2018-11-15
116,3711,Business,13021,2018-01-18
117,3567,Checking,29773,2023-11-11
118,1365,Checking,2152,2017-09-27
119,4724,Business,56131,2024-12-19
120,1830,Checking,41457,2016-05-29
121,4070,Business,16638,2022-01-27
122,590,Savings,78716,2025-01-22
123,468,Savings,37936,2022-11-04
124,4382,Checking,35007,2024-12-19
125,2375,Business,55138,2024-10-30
126,4559,Business,1936,2016-08-09
127,4281,Savings,92397,2019-10-27
128,2414,Savings,39939,2025-01-23
129,2828,Checking,88826,2023-12-03
130,816,Savings,47022,2023-12-16
131,1978,Checking,20325,2019-04-30
132,2971,Business,15292,2019-04-12
133,2485,Checking,31644,2019-07-08
134,880,Business,5604,2024-12-08
135,4302,Checking,14475,2016-06-20
136,386,Business,61412,2016-02-15
137,3696,Checking,64784,2016-01-29
138,459,Savings,25080,2017-07-05
139,3984,Business,48236,2022-10-18
140,1552,Business,83569,2016-07-16
141,3037,Savings,13995,2016-01-14
142,1693,Business,9163,2020-06-06
143,1519,Business,44535,2023-04-24
144,2702,Checking,49071,2021-04-01
145,3446,Checking,55123,2021-06-16
146,4968,Checking,28461,2021-07-08
147,290,Business,8938,2025-01-21
148,1005,Checking,1202,2016-03-24
149,1818,Savings,74998,2020-07-16
150,4632,Savings,34224,2021-12-08
151,4189,Checking,87933,2025-03-24
152,3935,Checking,64715,2015-05-26
153,3685,Business,88463,2024-09-20
154,4109,Checking,99820,2024-08-23
155,3894,Savings,57206,2016-01-02
156,4876,Business,89203,2019-07-24
157,1747,Checking,11168,2016-02-11
158,3280,Checking,46785,2018-12-29
159,876,Business,68650,2017-10-11
160,4642,Business,31998,2021-07-31
161,2672,Savings,7893,2025-04-07
162,4883,Checking,36295,2017-04-08
163,4672,Checking,34000,2022-09-11
164,3554,Checking,43246,2019-12-13
165,905,Business,29173,2022-07-28
166,2235,Business,7632,2021-10-31
167,1743,Savings,2932,2016-11-24
168,1636,Savings,94058,2018-05-23
169,2278,Checking,25840,2016-06-12
170,2708,Checking,2384,2023-01-01
171,436,Checking,85790,2022-12-17
172,1742,Business,20513,2019-05-29
173,3866,Checking,85097,2025-01-02
174,2593,Checking,41306,2023-12-30
175,3199,Business,52984,2015-09-06
176,4977,Business,210,2018-06-12
177,1114,Checking,42528,2024-10-02
178,3614,Business,69328,2024-04-13
179,2220,Business,38119,2021-05-22
180,4090,Savings,66378,2020-02-18
181,548,Checking,71006,2017-02-11
182,3970,Checking,55108,2016-04-24
183,2951,Checking,69001,2024-06-14
184,2852,Checking,81660,2019-12-13
185,2217,Business,81620,2021-08-25
186,911,Business,6999,2021-01-17
187,2137,Savings,70978,2022-06-12
188,3472,Checking,32115,2017-05-24
189,1372,Checking,1305,2021-12-09
190,3843,Savings,96655,2023-03-28
191,1120,Business,9523,2021-12-30
192,2104,Savings,88410,2017-09-05
193,2041,Checking,18322,2020-05-07
194,493,Business,4214,2022-02-10
195,3568,Savings,5117,2019-02-17
196,1350,Business,21893,2019-07-24
197,4221,Checking,25993,2018-01-07
198,319,Business,96524,2016-05-07
199,1663,Savings,2826,2021-04-13
200,3979,Business,24797,2017-07-08
201,445,Savings,82330,2021-03-27
202,4915,Business,3678,2018-03-27
203,4963,Checking,34115,2024-05-23
204,2075,Business,93200,2017-08-09
205,4592,Business,66491,2022-06-04
206,3817,Business,70986,2020-01-28
207,3495,Savings,76287,2023-02-02
208,2900,Savings,66526,2023-03-18
209,977,Savings,23634,2017-12-02
210,3319,Savings,96010,2024-02-29
211,2540,Business,20302,2020-03-11
212,696,Checking,86645,2022-05-30
213,3745,Checking,35132,2018-11-19
214,3353,Checking,67141,2022-12-04
215,1638,Checking,7992,2016-01-25
216,4367,Checking,87796,2023-05-21
217,3789,Checking,56891,2018-07-27
218,4298,Business,85124,2023-01-07
219,4428,Business,42997,2020-12-18
220,1942,Checking,45620,2018-03-30
221,4503,Savings,21851,2020-10-09
222,4124,Checking,47824,2023-07-30
223,2970,Savings,25998,2021-08-17
224,3758,Checking,82722,2020-06-27
225,3713,Savings,4617,2023-12-12
226,1858,Savings,47529,2018-06-15
227,2327,Business,63666,2021-12-13
228,446,Savings,58035,2023-02-04
229,847,Savings,34257,2021-01-21
230,1138,Business,57538,2024-08-01
231,2215,Business,23562,2025-03-09
232,139,Checking,45411,2023-04-16
233,1480,Checking,23940,2019-03-30
234,1895,Checking,31926,2016-09-05
235,572,Business,77525,2018-03-02
236,1704,Business,94526,2023-01-08
237,4591,Business,96233,2024-06-02
238,2359,Business,57744,2022-08-01
239,2448,Checking,56914,2017-03-24
240,676,Business,51458,2019-10-04
241,2198,Checking,36555,2017-05-07
242,438,Checking,66907,2025-01-13
243,3621,Business,54705,2024-04-28
244,3599,Checking,41361,2021-08-17
245,4706,Business,27542,2025-03-27
246,2684,Business,31666,2018-01-14
247,1749,Savings,4416,2023-03-22
248,4902,Savings,29106,2021-01-22
249,3646,Savings,35224,2024-05-25
250,412,Checking,74777,2025-01-24
251,304,Business,61164,2017-09-29
252,3484,Checking,37090,2020-04-07
253,1199,Checking,42116,2018-10-03
254,4872,Checking,2792,2025-03-19
255,1775,Savings,77324,2019-05-05
256,1153,Checking,38521,2022-07-19
257,2839,Business,20260,2018-04-12
258,2509,Savings,25618,2015-10-24
259,1344,Checking,28533,2015-07-14
260,2326,Checking,96023,2021-10-08
261,1752,Savings,57967,2022-03-04
262,56,Business,68494,2020-12-31
263,219,Checking,88508,2024-03-20
264,4250,Checking,30231,2022-08-28
265,1612,Checking,75467,2016-09-23
266,3325,Business,87267,2023-08-07
267,3635,Checking,79713,2016-03-28
268,4317,Business,82535,2016-12-11
269,655,Business,39133,2023-10-23
270,4717,Checking,65081,2019-03-20
271,1548,Savings,61069,2019-10-27
272,2204,Checking,23143,2016-09-16
273,927,Business,40235,2023-12-29
274,2422,Checking,32107,2024-02-07
275,360,Business,80094,2020-10-10
276,2165,Savings,26475,2015-09-19
277,3404,Checking,10553,2021-09-23
278,4727,Checking,87424,2021-09-01
279,3362,Savings,58771,2019-04-25
280,4622,Savings,91116,2020-12-09
281,470,Business,55866,2021-11-03
282,1032,Savings,98389,2019-01-28
283,92,Savings,23875,2016-02-05
284,3797,Savings,88847,2019-05-25
285,1021,Checking,70038,2016-02-08
286,4920,Savings,95160,2018-07-16
287,2707,Savings,7908,2024-12-23
288,2972,Business,19917,2022-09-03
289,347,Savings,7858,2021-06-22
290,3515,Business,70638,2019-05-20
291,680,Savings,71464,2017-04-07
292,313,Business,74454,2016-07-09
293,4661,Checking,53021,2024-01-05
294,4548,Business,83017,2015-12-13
295,4940,Business,36604,2024-12-22
296,3674,Checking,19695,2024-07-10
297,2168,Checking,20191,2020-01-17
298,1459,Business,93165,2017-11-07
299,4196,Business,48600,2017-08-24
300,455,Checking,47791,2017-05-31
301,2462,Checking,86990,2022-03-29
302,4973,Savings,49483,2024-06-27
303,4814,Savings,72551,2018-03-15
304,2788,Checking,86873,2022-03-09
305,1711,Business,43006,2024-09-17
306,2405,Business,21984,2024-01-07
307,4557,Checking,17437,2019-03-31
308,2150,Checking,62123,2024-03-06
309,206,Checking,9109,2023-12-15
310,647,Checking,50943,2019-03-30
311,1240,Business,32785,2018-08-13
312,897,Savings,61217,2022-12-17
313,2078,Business,56101,2018-09-07
314,3039,Savings,8392,2020-12-16
315,1618,Savings,66416,2020-12-20
316,4702,Savings,10598,2015-10-27
317,3336,Business,56863,2017-07-24
318,691,Savings,78431,2018-04-21
319,2092,Checking,83252,2016-07-20
320,862,Business,45184,2023-01-02
321,2794,Savings,56294,2021-05-06
322,1426,Savings,1988,2021-09-30
323,3126,Business,70235,2017-06-06
324,4716,Savings,36291,2019-06-27
325,274,Business,13602,2024-03-29
326,280,Savings,18109,2017-04-24
327,600,Checking,32622,2021-11-20
328,1435,Business,23303,2023-05-22
329,892,Business,22531,2018-10-21
330,3256,Business,45483,2023-02-12
331,1311,Checking,20944,2018-05-20
332,3618,Checking,86191,2020-09-22
333,1844,Business,94885,2016-07-13
334,2248,Savings,86279,2024-05-24
335,1714,Business,56716,2016-07-25
336,2046,Savings,21580,2020-01-12
337,3670,Business,15938,2023-08-31
338,4739,Business,75761,2025-03-16
339,718,Savings,48303,2017-04-22
340,1023,Checking,74185,2020-10-14
341,609,Business,34456,2020-10-20
342,3778,Savings,62458,2022-02-15
343,4705,Savings,27871,2024-10-20
344,561,Savings,94455,2017-09-13
345,979,Savings,12292,2021-08-02
346,3721,Business,95554,2020-03-21
347,2265,Checking,549,2020-12-29
348,1410,Checking,14907,2017-11-10
349,4506,Business,5375,2015-12-12
350,4961,Business,769,2015-11-21
351,2215,Business,33016,2022-09-27
352,4869,Savings,93382,2015-09-05
353,4247,Checking,25481,2022-07-14
354,3463,Business,82693,2022-03-09
355,885,Business,26328,2022-05-23
356,4982,Savings,42736,2024-05-19
357,1960,Checking,84999,2025-03-16
358,4116,Business,86779,2024-02-29
359,3677,Checking,15343,2024-10-30
360,3435,Savings,7973,2021-09-26
361,4780,Business,87254,2023-03-19
362,3021,Savings,57282,2021-04-16
363,2579,Business,71728,2023-01-05
364,407,Checking,46248,2020-07-10
365,3675,Checking,15453,2020-05-18
366,3271,Business,87951,2018-01-18
367,1870,Business,25247,2015-07-04
368,2218,Business,36939,2022-09-30
369,984,Savings,99278,2020-10-24
370,1205,Business,14189,2015-05-23
371,1539,Checking,99184,2018-05-13
372,4510,Business,53274,2017-03-14
373,1543,Business,79625,2024-04-08
374,1058,Checking,80237,2016-06-03
375,4123,Checking,86233,2016-06-18
376,3813,Checking,95937,2024-11-21
377,4030,Savings,96148,2021-10-11
378,3064,Savings,95095,2021-10-03
379,4598,Checking,92557,2020-03-28
380,2468,Business,61305,2019-05-22
381,1458,Business,48687,2020-06-16
382,2060,Savings,89810,2021-11-04
383,2108,Checking,42555,2018-03-31
384,4048,Business,14369,2022-07-23
385,2188,Business,9316,2018-06-28
386,4556,Savings,60834,2023-12-29
387,485,Business,34755,2017-07-13
388,4380,Business,36273,2017-04-13
389,4864,Checking,11025,2016-10-22
390,1539,Checking,90543,2021-06-21
391,2768,Business,11093,2015-07-30
392,4167,Business,81661,2019-06-18
393,602,Business,33288,2015-07-27
394,3301,Business,33332,2024-06-12
395,3248,Business,18363,2016-08-02
396,2930,Checking,41833,2025-03-26
397,1792,Checking,34819,2017-06-09
398,134,Checking,82042,2019-08-31
399,869,Checking,76466,2021-07-11
400,1672,Business,78151,2018-10-26
401,2484,Checking,2026,2019-11-19
402,3700,Business,98563,2015-11-30
403,4725,Business,76853,2023-07-10
404,4895,Checking,84768,2017-05-07
405,257,Business,2911,2018-03-28
406,575,Business,57271,2020-06-15
407,1764,Checking,87169,2023-10-04
408,231,Savings,17347,2021-11-13
409,2497,Business,55080,2017-04-05
410,621,Checking,38769,2019-06-04
411,4546,Savings,91125,2025-03-23
412,2986,Savings,45217,2016-09-18
413,4248,Checking,60721,2024-04-06
414,2903,Savings,76266,2015-07-08
415,1176,Savings,11477,2017-07-20
416,112,Business,96150,2020-05-07
417,2869,Checking,84785,2024-01-01
418,1523,Business,69173,2023-06-03
419,3055,Checking,73050,2020-07-26
420,1174,Checking,97279,2017-12-10
421,88,Savings,98325,2023-12-03
422,1829,Checking,41840,2022-03-31
423,790,Checking,11654,2024-11-03
424,4702,Business,56089,2022-10-05
425,3706,Checking,54304,2016-09-27
426,1487,Savings,79814,2018-03-10
427,3606,Savings,9913,2019-01-19
428,3892,Savings,27513,2016-10-08
429,588,Savings,29887,2016-04-29
430,4739,Checking,47375,2019-05-01
431,4638,Business,87991,2023-05-23
432,4503,Checking,24426,2021-05-20
433,1291,Checking,94532,2021-06-21
434,4517,Savings,38921,2024-09-05
435,4713,Savings,86315,2017-12-25
436,1279,Business,2691,2023-06-20
437,4701,Savings,85706,2015-09-26
438,2164,Business,58039,2016-07-04
439,3261,Checking,82497,2015-10-02
440,3598,Savings,38619,2018-01-08
441,2532,Checking,44216,2021-04-15
442,1271,Checking,6653,2015-09-09
443,86,Business,36540,2020-06-24
444,3526,Checking,31985,2017-04-26
445,906,Business,75557,2022-05-12
446,1221,Savings,76605,2021-01-03
447,4408,Business,60240,2021-07-05
448,1591,Savings,30452,2022-12-12
449,3717,Checking,68235,2024-10-11
450,1651,Business,65039,2021-01-02
451,3718,Business,51568,2015-12-01
452,4534,Checking,93787,2024-12-30
453,3101,Savings,97629,2018-10-12
454,541,Checking,61029,2024-05-14
455,3748,Checking,32764,2023-07-15
456,4721,Savings,28929,2021-01-10
457,4256,Checking,29727,2018-01-28
458,4849,Business,17661,2016-05-28
459,4300,Checking,43264,2022-11-06
460,1291,Checking,51316,2018-12-14
461,3586,Business,2067,2021-03-17
462,3669,Checking,24384,2019-12-17
463,3076,Business,43187,2025-03-26
464,236,Checking,70899,2018-03-06
465,3613,Checking,16792,2016-08-10
466,513,Checking,3354,2024-09-05
467,909,Savings,68502,2019-12-07
468,964,Checking,52290,2021-05-12
469,3049,Checking,65461,2018-05-12
470,464,Savings,74446,2020-09-13
471,1525,Savings,23150,2020-08-13
472,4563,Savings,69817,2021-02-09
473,373,Checking,59991,2025-03-03
474,1206,Business,31227,2018-06-06
475,1995,Business,19929,2015-06-20
476,690,Savings,84034,2022-06-25
477,3060,Savings,1095,2020-09-21
478,1566,Checking,79894,2018-01-27
479,1962,Savings,23432,2020-10-14
480,3482,Checking,60335,2016-10-03
481,751,Savings,37097,2025-04-10
482,1075,Savings,34595,2018-06-05
483,902,Checking,86128,2018-03-01
484,1130,Checking,49197,2015-07-12
485,1505,Business,42271,2016-08-07
486,4982,Business,54145,2024-06-16
487,4635,Business,73754,2020-02-28
488,3475,Business,41772,2020-09-15
489,2978,Checking,5662,2024-09-02
490,814,Savings,1653,2024-09-21
491,4532,Business,70168,2023-05-02
492,3555,Business,59903,2015-11-25
493,4191,Savings,59456,2022-10-22
494,404,Checking,91011,2016-09-09
495,3819,Savings,14381,2022-06-14
496,4467,Checking,79078,2024-01-22
497,2465,Business,24895,2023-06-06
498,484,Savings,38305,2017-08-09
499,2526,Business,93197,2020-07-28
500,771,Savings,43445,2020-07-17
501,573,Business,11740,2025-01-29
502,652,Business,69781,2025-04-08
503,2608,Checking,60031,2017-09-23
504,3206,Business,47272,2022-04-21
505,2442,Business,57639,2016-04-02
506,3394,Business,47001,2018-03-20
507,251,Business,29810,2015-07-27
508,1369,Business,49935,2020-09-24
509,1075,Checking,75721,2022-09-17
510,2689,Checking,98168,2020-03-18
511,2509,Business,92388,2016-12-06
512,4589,Checking,77687,2021-03-01
